t_ms,LF_ref,LF_meas,RF_ref,RF_meas,LB_ref,LB_meas,RB_ref,RB_meas
1323,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1323,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1328,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1335,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1338,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1345,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1348,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1352,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1355,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1362,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1367,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1374,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1377,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1384,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1387,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1394,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1399,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1403,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1406,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1412,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1418,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1425,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1431,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1434,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1440,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1443,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1447,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1456,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1460,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1467,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1470,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1474,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1482,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1486,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1489,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1495,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1498,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1505,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1508,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1512,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1515,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1522,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1527,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1533,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1540,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1544,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1547,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1559,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1565,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1565,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1572,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1582,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1582,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1583,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1591,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1594,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1597,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1601,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1610,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1614,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1617,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1627,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1627,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1630,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1636,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1643,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1648,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1662,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1662,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1663,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1668,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1672,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1677,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1681,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1691,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1694,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1699,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1704,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1707,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1710,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1716,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1725,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1728,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1738,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1738,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1741,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1751,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1754,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1757,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1763,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1770,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1773,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1778,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1783,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1789,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1793,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1796,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1806,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1811,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1816,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1819,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1828,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1835,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1836,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1838,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1841,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1854,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1854,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1859,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1863,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1866,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1870,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1876,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1888,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1891,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1895,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1898,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1901,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
1908,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00
